,topic,Q0,docId,rank,score,score_descr,score_similarity
3005,104,Q0,en.noclean.c4-train.03531-of-07168.18470,6,20.001333236694336,-0.0151008032262325,0.3933388963341713
3006,104,Q0,en.noclean.c4-train.03409-of-07168.18684,7,20.00133514404297,-0.0151008032262325,0.3933388963341713
3007,104,Q0,en.noclean.c4-train.03271-of-07168.110395,8,20.00133514404297,-0.0151008032262325,0.3933388963341713
3008,104,Q0,en.noclean.c4-train.03250-of-07168.25042,9,20.0013370513916,-0.0151008032262325,0.3933388963341713
3009,104,Q0,en.noclean.c4-train.03224-of-07168.138372,10,20.0013370513916,-0.0151008032262325,0.3933388963341713
4000,105,Q0,en.noclean.c4-train.01412-of-07168.56186,1,10.347700119018556,-0.0020431850571185,0.4517809549967448
4001,105,Q0,en.noclean.c4-train.02649-of-07168.59704,2,10.065600395202637,-0.0034701151307672,0.4089128610988458
4002,105,Q0,en.noclean.c4-train.02200-of-07168.20478,3,10.177599906921387,-0.0034885283093899,0.3120715543627739
4003,105,Q0,en.noclean.c4-train.01655-of-07168.9160,4,10.102700233459473,-0.0035836778115481,0.4219099159042041
4004,105,Q0,en.noclean.c4-train.01987-of-07168.134602,5,10.275899887084961,-0.0036408107262104,0.4651654412349065
4005,105,Q0,en.noclean.c4-train.01427-of-07168.50759,6,10.00730037689209,-0.0041370526887476,0.4981142282485962
4006,105,Q0,en.noclean.c4-train.05637-of-07168.141583,7,9.890299797058104,-0.0041872691363096,0.26822808384895325
4007,105,Q0,en.noclean.c4-train.05919-of-07168.100735,8,10.056699752807617,-0.0046014850959181,0.4619187911351522
4008,105,Q0,en.noclean.c4-train.00143-of-07168.36035,9,9.913800239562988,-0.0047413776628673,0.32997647548715275
4009,105,Q0,en.noclean.c4-train.03657-of-07168.17843,10,10.75220012664795,-0.0055349194444715,0.40894014885028207
5000,106,Q0,en.noclean.c4-train.03547-of-07168.122696,1,28.85950088500977,-0.0035769073292613,0.4191217816745241
5001,106,Q0,en.noclean.c4-train.02697-of-07168.97713,2,27.34760093688965,-0.0041014370508491,0.4636015507082145
5002,106,Q0,en.noclean.c4-train.00075-of-07168.75884,3,27.75329971313477,-0.0049424613825976,0.4763245930274328
5003,106,Q0,en.noclean.c4-train.04107-of-07168.128465,4,27.655500411987305,-0.004996077157557,0.470643679300944
5004,106,Q0,en.noclean.c4-train.01442-of-07168.5953,5,28.495399475097656,-0.0052510672248899,0.5447466919819514
5005,106,Q0,en.noclean.c4-train.04093-of-07168.29436,6,23.962499618530284,-0.0060265492647886,0.3714852767686049
5006,106,Q0,en.noclean.c4-train.02532-of-07168.119299,7,24.76469993591309,-0.0061901747249066,0.6328347027301788
5007,106,Q0,en.noclean.c4-train.01177-of-07168.35132,8,27.17300033569336,-0.0065833115950226,0.3468177393078804
5008,106,Q0,en.noclean.c4-train.05897-of-07168.108078,9,27.73780059814453,-0.0072152754291892,0.5307719136277834
5009,106,Q0,en.noclean.c4-train.02107-of-07168.64806,10,24.70730018615723,-0.0076967347413301,0.4026375065247218
6000,107,Q0,en.noclean.c4-train.04429-of-07168.98829,1,12.963399887084961,-0.0023771857377141,0.6336131443579992
6001,107,Q0,en.noclean.c4-train.00898-of-07168.139360,2,13.69909954071045,-0.0024242794606834,0.6051183789968491
6002,107,Q0,en.noclean.c4-train.05627-of-07168.50927,3,13.599300384521484,-0.0025360586587339,0.5506726155678431
6003,107,Q0,en.noclean.c4-train.05508-of-07168.36210,4,12.82639980316162,-0.0025716111995279,0.5059738646571835
6004,107,Q0,en.noclean.c4-train.00697-of-07168.65261,5,14.456600189208984,-0.0026916961651295,0.514086107412974
6005,107,Q0,en.noclean.c4-train.04388-of-07168.110553,6,13.579299926757812,-0.0027381805703043,0.4953523675600688
6006,107,Q0,en.noclean.c4-train.03234-of-07168.31923,7,12.833100318908693,-0.0028698947280645,0.5750387708346049
6007,107,Q0,en.noclean.c4-train.03567-of-07168.21324,8,13.849300384521484,-0.0030143084004521,0.6356973747412363
6008,107,Q0,en.noclean.c4-train.05358-of-07168.95802,9,13.815299987792967,-0.0030362955294549,0.4884420285622279
6009,107,Q0,en.noclean.c4-train.01830-of-07168.26232,10,13.251500129699707,-0.0031471743714064,0.5587721019983292
7000,108,Q0,en.noclean.c4-train.03614-of-07168.56386,1,12.13889980316162,-0.006775973830372,0.4867116411526998
7001,108,Q0,en.noclean.c4-train.06290-of-07168.74532,2,10.3302001953125,-0.0127531196922063,0.3198803734655182
7002,108,Q0,en.noclean.c4-train.04026-of-07168.70842,3,10.37969970703125,-0.0194488912820816,0.5469687978426615
7003,108,Q0,en.noclean.c4-train.05352-of-07168.30198,4,11.383199691772461,-0.0276347622275352,0.3407090037750701
7004,108,Q0,en.noclean.c4-train.00227-of-07168.130016,5,11.376099586486815,-0.0316211655735969,0.3880034585793813
7005,108,Q0,en.noclean.c4-train.00971-of-07168.131688,6,10.540499687194824,-0.0316211655735969,0.3880034585793813
7006,108,Q0,en.noclean.c4-train.05777-of-07168.78156,7,11.323599815368652,-0.0366800129413604,0.3405434116721153
7007,108,Q0,en.noclean.c4-train.03362-of-07168.140095,8,10.428500175476074,-0.0369617454707622,0.39874757329622906
7008,108,Q0,en.noclean.c4-train.07138-of-07168.102691,9,11.3951997756958,-0.0409520678222179,0.3784798632065455
7009,108,Q0,en.noclean.c4-train.05727-of-07168.36620,10,10.865899085998537,-0.0426827482879161,0.4952934036652247
8000,109,Q0,en.noclean.c4-train.01580-of-07168.55019,1,15.208700180053713,-0.0070257754996418,0.31891775379578274
8001,109,Q0,en.noclean.c4-train.05188-of-07168.7044,2,14.949799537658693,-0.0074581047520041,0.25087643166383106
8002,109,Q0,en.noclean.c4-train.02442-of-07168.91361,3,15.035300254821776,-0.0083134546875953,0.19303633645176888
8003,109,Q0,en.noclean.c4-train.04762-of-07168.140663,4,14.668800354003904,-0.0089460983872413,0.27488189935684204
8004,109,Q0,en.noclean.c4-train.00565-of-07168.106839,5,14.748700141906738,-0.0110719120129942,0.2600132127602895
8005,109,Q0,en.noclean.c4-train.05793-of-07168.15930,6,15.265399932861328,-0.0115259466692805,0.3797262062629064
8006,109,Q0,en.noclean.c4-train.04585-of-07168.74457,7,15.265000343322756,-0.0115259466692805,0.3797262062629064
8007,109,Q0,en.noclean.c4-train.00529-of-07168.33801,8,15.31700038909912,-0.0123015251010656,0.3039375841617584
8008,109,Q0,en.noclean.c4-train.05534-of-07168.22744,9,15.301199913024902,-0.012956129387021002,0.32853013028701145
8009,109,Q0,en.noclean.c4-train.04086-of-07168.115478,10,15.06719970703125,-0.0130386156961321,0.29018067196011543
9000,110,Q0,en.noclean.c4-train.04524-of-07168.92922,1,25.837900161743164,-0.0111076338216662,0.4973695290585359
9001,110,Q0,en.noclean.c4-train.02497-of-07168.38187,2,25.66579627990723,-0.0111076338216662,0.4973695290585359
9002,110,Q0,en.noclean.c4-train.06995-of-07168.119704,3,25.665790557861328,-0.0111076338216662,0.4973695290585359
9003,110,Q0,en.noclean.c4-train.06605-of-07168.102558,4,25.66579246520996,-0.0111076338216662,0.4973695290585359
9004,110,Q0,en.noclean.c4-train.05349-of-07168.90649,5,25.66579246520996,-0.0111076338216662,0.4973695290585359
9005,110,Q0,en.noclean.c4-train.04390-of-07168.103519,6,25.665794372558604,-0.0111076338216662,0.4973695290585359
9006,110,Q0,en.noclean.c4-train.03101-of-07168.81803,7,25.665794372558604,-0.0111076338216662,0.4973695290585359
9007,110,Q0,en.noclean.c4-train.02822-of-07168.53030,8,25.66579627990723,-0.0111076338216662,0.4973695290585359
9008,110,Q0,en.noclean.c4-train.02298-of-07168.47410,9,25.66579818725586,-0.0111076338216662,0.4973695290585359
9009,110,Q0,en.noclean.c4-train.01433-of-07168.35999,10,25.66579818725586,-0.0111076338216662,0.4973695290585359
10000,111,Q0,en.noclean.c4-train.04211-of-07168.117576,1,16.16550064086914,-0.0076847868040204,0.5333809540607035
10001,111,Q0,en.noclean.c4-train.07083-of-07168.63601,2,16.13789939880371,-0.0076847868040204,0.5333809540607035
10002,111,Q0,en.noclean.c4-train.05896-of-07168.76370,3,15.772700309753418,-0.0140874022617936,0.4983518744508426
10003,111,Q0,en.noclean.c4-train.02195-of-07168.10536,4,15.317700386047365,-0.0156037155538797,0.43176011244455975
10004,111,Q0,en.noclean.c4-train.03858-of-07168.77268,5,15.330699920654295,-0.0222353730350732,0.3853856275478999
10005,111,Q0,en.noclean.c4-train.02080-of-07168.57402,6,15.161399841308596,-0.0353605970740318,0.3788885710140069
10006,111,Q0,en.noclean.c4-train.03550-of-07168.121156,7,15.282096862792967,-0.0380339547991752,0.4469661414623261
10007,111,Q0,en.noclean.c4-train.03468-of-07168.87123,8,15.282097816467285,-0.0380339547991752,0.4469661414623261
10008,111,Q0,en.noclean.c4-train.02569-of-07168.139157,9,15.282098770141602,-0.0380339547991752,0.4469661414623261
10009,111,Q0,en.noclean.c4-train.05604-of-07168.53737,10,15.223400115966795,-0.0428905077278614,0.48555688560009
11000,112,Q0,en.noclean.c4-train.03821-of-07168.41772,1,20.899099349975586,-0.0059768995270133,0.4012399613857269
11001,112,Q0,en.noclean.c4-train.02008-of-07168.52048,2,20.28689956665039,-0.0063670403324067,0.3944306522607803
11002,112,Q0,en.noclean.c4-train.00811-of-07168.147436,3,21.294300079345703,-0.0077529237605631,0.3526763791839282
11003,112,Q0,en.noclean.c4-train.04983-of-07168.11514,4,20.09760093688965,-0.0077908933162689,0.30498536427815753
11004,112,Q0,en.noclean.c4-train.04588-of-07168.912,5,19.9596004486084,-0.0089873317629098,0.35708984235922503
11005,112,Q0,en.noclean.c4-train.00354-of-07168.123245,6,20.60740089416504,-0.0093331933021545,0.2756135668605566
11006,112,Q0,en.noclean.c4-train.00515-of-07168.117445,7,20.8262996673584,-0.0099761690944433,0.3402757669488589
11007,112,Q0,en.noclean.c4-train.06542-of-07168.106883,8,20.123699188232425,-0.0149254761636257,0.4308053155740102
11008,112,Q0,en.noclean.c4-train.04920-of-07168.145879,9,19.81480026245117,-0.0170400366187095,0.37211059282223385
11009,112,Q0,en.noclean.c4-train.01909-of-07168.135301,10,20.082500457763672,-0.0170473027974367,0.2727515514319141
12000,113,Q0,en.noclean.c4-train.06278-of-07168.27443,1,23.364200592041016,-0.0154452621936798,0.6308940251668295
12001,113,Q0,en.noclean.c4-train.06381-of-07168.122978,2,23.98240089416504,-0.0290621388703584,0.4172526349623998
12002,113,Q0,en.noclean.c4-train.01462-of-07168.19088,3,24.30500030517578,-0.040812000632286,0.5251777221759161
12003,113,Q0,en.noclean.c4-train.03396-of-07168.114616,4,24.01609992980957,-0.0413743257522583,0.6318496366341909
12004,113,Q0,en.noclean.c4-train.06842-of-07168.115187,5,23.39389991760254,-0.0487140491604805,0.6826679507891337
12005,113,Q0,en.noclean.c4-train.03416-of-07168.75926,6,24.47719955444336,-0.0572023726999759,0.5419372369845709
12006,113,Q0,en.noclean.c4-train.06797-of-07168.41074,7,24.019100189208984,-0.0613330081105232,0.4439002126455307
12007,113,Q0,en.noclean.c4-train.06683-of-07168.119745,8,23.203500747680664,-0.0618804395198822,0.6643551439046861
12008,113,Q0,en.noclean.c4-train.06044-of-07168.131913,9,23.70870018005371,-0.0841814428567886,0.4816021919250488
12009,113,Q0,en.noclean.c4-train.06371-of-07168.11172,10,23.65080070495605,-0.0873640850186348,0.5164553920427958
13000,114,Q0,en.noclean.c4-train.00500-of-07168.92962,1,21.768699645996094,-0.0073499511927366,0.5109630624453226
13001,114,Q0,en.noclean.c4-train.05537-of-07168.58307,2,21.386499404907227,-0.0074447342194616,0.6758182843526205
13002,114,Q0,en.noclean.c4-train.03496-of-07168.140082,3,21.86280059814453,-0.0087819779291749,0.41511118163665134
13003,114,Q0,en.noclean.c4-train.03891-of-07168.135968,4,22.262300491333008,-0.0121187577024102,0.4854850868384044
13004,114,Q0,en.noclean.c4-train.06074-of-07168.46776,5,21.75639915466309,-0.0131080355495214,0.4911532302697499
13005,114,Q0,en.noclean.c4-train.05430-of-07168.93448,6,21.905799865722656,-0.0153899742290377,0.44652549425760907
13006,114,Q0,en.noclean.c4-train.01659-of-07168.9933,7,21.662500381469727,-0.0162703543901443,0.4186629777153333
13007,114,Q0,en.noclean.c4-train.02951-of-07168.87261,8,21.536500930786133,-0.0186135489493608,0.3788167213400205
13008,114,Q0,en.noclean.c4-train.01122-of-07168.84214,9,21.505699157714844,-0.0287840776145458,0.4286765505870183
13009,114,Q0,en.noclean.c4-train.00279-of-07168.55783,10,21.52400016784668,-0.030348252505064,0.5121261129776636
14000,115,Q0,en.noclean.c4-train.01515-of-07168.83212,1,15.46679973602295,-0.004222288262099,0.5760822196801504
14001,115,Q0,en.noclean.c4-train.05919-of-07168.110179,2,15.421299934387207,-0.0047977329231798,0.5873033404350281
14002,115,Q0,en.noclean.c4-train.00794-of-07168.137020,3,15.277199745178224,-0.0052062412723898,0.6397969325383505
14003,115,Q0,en.noclean.c4-train.03542-of-07168.112272,4,15.73680019378662,-0.0053487764671444,0.5074860379099846
14004,115,Q0,en.noclean.c4-train.02320-of-07168.892,5,15.411100387573242,-0.0057846759445965,0.5455936789512634
14005,115,Q0,en.noclean.c4-train.00784-of-07168.47350,6,15.643199920654295,-0.0059034274891018,0.6701959470907847
14006,115,Q0,en.noclean.c4-train.04572-of-07168.88520,7,15.92870044708252,-0.0061406516470015,0.6694868852694829
14007,115,Q0,en.noclean.c4-train.04619-of-07168.119821,8,16.19339942932129,-0.0064169075340032,0.42490626126527786
14008,115,Q0,en.noclean.c4-train.03581-of-07168.92637,9,15.470000267028807,-0.0067273085005581,0.4945150787631671
14009,115,Q0,en.noclean.c4-train.00146-of-07168.5676,10,15.573699951171875,-0.0068137440830469,0.3531861367324988
15000,116,Q0,en.noclean.c4-train.03445-of-07168.75447,1,11.71399974822998,-0.007928685285151,0.6041217148303986
15001,116,Q0,en.noclean.c4-train.00782-of-07168.7583,2,11.53159999847412,-0.008171341381966998,0.6572570105393728
15002,116,Q0,en.noclean.c4-train.03634-of-07168.30006,3,11.540900230407715,-0.0085288323462009,0.6625345697005589
15003,116,Q0,en.noclean.c4-train.02648-of-07168.129429,4,11.55780029296875,-0.0094276703894138,0.6211819847424825
15004,116,Q0,en.noclean.c4-train.04062-of-07168.61532,5,11.576099395751953,-0.0095344185829162,0.6197612782319387
15005,116,Q0,en.noclean.c4-train.03043-of-07168.105651,6,11.484600067138672,-0.0110418479889631,0.6786285440127054
15006,116,Q0,en.noclean.c4-train.00961-of-07168.101702,7,11.508199691772461,-0.0116456681862473,0.6537185957034429
15007,116,Q0,en.noclean.c4-train.05012-of-07168.131421,8,11.689800262451172,-0.0117436973378062,0.6394276370604833
15008,116,Q0,en.noclean.c4-train.06658-of-07168.114262,9,11.689799308776855,-0.0117436973378062,0.6394276370604833
15009,116,Q0,en.noclean.c4-train.01810-of-07168.138971,10,11.603099822998047,-0.0122558372095227,0.5990945373972257
16000,117,Q0,en.noclean.c4-train.03687-of-07168.70013,1,17.30660057067871,-0.0225546564906835,0.3801886464158694
16001,117,Q0,en.noclean.c4-train.06425-of-07168.39428,2,17.392999649047848,-0.0312218070030212,0.22038172744214532
16002,117,Q0,en.noclean.c4-train.01989-of-07168.121876,3,17.708900451660156,-0.0456299446523189,0.3979279349247615
16003,117,Q0,en.noclean.c4-train.02196-of-07168.86222,4,17.363500595092773,-0.0510743968188762,0.4172705163558324
16004,117,Q0,en.noclean.c4-train.04011-of-07168.31501,5,17.453800201416016,-0.0512402132153511,0.362538542598486
16005,117,Q0,en.noclean.c4-train.01202-of-07168.105236,6,18.186599731445312,-0.0663054808974266,0.2995411194860935
16006,117,Q0,en.noclean.c4-train.03207-of-07168.147488,7,18.186595916748047,-0.0663054808974266,0.2995411194860935
16007,117,Q0,en.noclean.c4-train.02493-of-07168.9718,8,18.186595916748047,-0.0663054808974266,0.2995411194860935
16008,117,Q0,en.noclean.c4-train.02462-of-07168.131475,9,18.18659782409668,-0.0663054808974266,0.2995411194860935
16009,117,Q0,en.noclean.c4-train.01299-of-07168.130763,10,18.18659782409668,-0.0663054808974266,0.2995411194860935
17000,118,Q0,en.noclean.c4-train.05762-of-07168.68748,1,19.07200050354004,-0.0071497061289846,0.4872889618078868
17001,118,Q0,en.noclean.c4-train.00117-of-07168.116423,2,19.39579963684082,-0.0085761100053787,0.5848234494527181
17002,118,Q0,en.noclean.c4-train.00985-of-07168.112374,3,20.353599548339844,-0.0100377770140767,0.39717746153473854
17003,118,Q0,en.noclean.c4-train.05544-of-07168.4231,4,19.44930076599121,-0.0107778338715434,0.5434647599856058
17004,118,Q0,en.noclean.c4-train.03454-of-07168.119787,5,19.68980026245117,-0.0109682753682136,0.4300365447998047
17005,118,Q0,en.noclean.c4-train.06057-of-07168.99,6,20.00629997253418,-0.0112760877236723,0.3957858433326085
17006,118,Q0,en.noclean.c4-train.02517-of-07168.112784,7,19.87619972229004,-0.0119195831939578,0.3939405269920826
17007,118,Q0,en.noclean.c4-train.03911-of-07168.91940,8,19.84029960632324,-0.012478020042181,0.4470341602961223
17008,118,Q0,en.noclean.c4-train.04230-of-07168.93666,9,19.15760040283203,-0.0129773104563355,0.5252605626980463
17009,118,Q0,en.noclean.c4-train.01008-of-07168.141996,10,20.048099517822266,-0.0131512144580483,0.4236429805556933
18000,119,Q0,en.noclean.c4-train.01996-of-07168.29426,1,24.054500579833984,-0.0024375985376536,0.6262588153282801
18001,119,Q0,en.noclean.c4-train.01376-of-07168.147355,2,22.72170066833496,-0.0028104591183364,0.6775906036297479
18002,119,Q0,en.noclean.c4-train.04304-of-07168.135413,3,24.27169990539551,-0.0030206074006855,0.6455593556165695
18003,119,Q0,en.noclean.c4-train.05164-of-07168.130596,4,22.5403995513916,-0.0047015124000608,0.6988078057765961
18004,119,Q0,en.noclean.c4-train.01286-of-07168.26314,5,22.34670066833496,-0.0067527662031352,0.5245425129930178
18005,119,Q0,en.noclean.c4-train.01402-of-07168.130036,6,24.41760063171387,-0.0069600753486156,0.3791296500712633
18006,119,Q0,en.noclean.c4-train.01301-of-07168.83850,7,22.250900268554688,-0.0072446265257894,0.5411203702290853
18007,119,Q0,en.noclean.c4-train.04644-of-07168.78976,8,22.97780036926269,-0.0078889466822147,0.656804084777832
18008,119,Q0,en.noclean.c4-train.03438-of-07168.100384,9,22.41580009460449,-0.0090851485729217,0.7671868602434794
18009,119,Q0,en.noclean.c4-train.00173-of-07168.21178,10,22.46470069885254,-0.009672088548541,0.6471876800060272
19000,120,Q0,en.noclean.c4-train.02388-of-07168.98540,1,35.08240127563477,-0.0068882144987583,0.5550771802663803
19001,120,Q0,en.noclean.c4-train.05298-of-07168.31602,2,35.08240127563477,-0.0068882144987583,0.5550771802663803
19002,120,Q0,en.noclean.c4-train.06984-of-07168.4146,3,34.11909866333008,-0.0075621060095727,0.2629534279306729
19003,120,Q0,en.noclean.c4-train.04445-of-07168.100999,4,36.15560150146485,-0.0078805489465594,0.5207898219426473
19004,120,Q0,en.noclean.c4-train.04527-of-07168.7350,5,36.42380142211914,-0.0080161998048424,0.3902251645922661
19005,120,Q0,en.noclean.c4-train.06970-of-07168.53501,6,36.55960083007813,-0.0080871516838669,0.3888746500015259
19006,120,Q0,en.noclean.c4-train.05170-of-07168.98044,7,36.3921012878418,-0.0081288926303386,0.38633394489685696
19007,120,Q0,en.noclean.c4-train.00506-of-07168.82701,8,36.6693000793457,-0.0081453286111354,0.3856757606069247
19008,120,Q0,en.noclean.c4-train.05841-of-07168.27055,9,35.116500854492195,-0.0088226264342665,0.4811117698748906
19009,120,Q0,en.noclean.c4-train.01984-of-07168.1139,10,35.69580078125,-0.0096714980900287,0.46002301697929704
20000,121,Q0,en.noclean.c4-train.01058-of-07168.11900,1,16.88599967956543,-0.0034248526208102,0.5567808647950491
20001,121,Q0,en.noclean.c4-train.06335-of-07168.94737,2,18.297100067138672,-0.0045785829424858,0.5172561854124069
20002,121,Q0,en.noclean.c4-train.01768-of-07168.131401,3,16.469200134277347,-0.005487616173923001,0.5234460085630417
20003,121,Q0,en.noclean.c4-train.00470-of-07168.55826,4,18.50130081176757,-0.005700996145606,0.5559026350577673
20004,121,Q0,en.noclean.c4-train.01349-of-07168.72768,5,16.966299057006836,-0.0061643472872674,0.3421441422154506
20005,121,Q0,en.noclean.c4-train.06257-of-07168.142057,6,17.267499923706055,-0.0064509012736380005,0.509839653968811
20006,121,Q0,en.noclean.c4-train.06617-of-07168.43071,7,17.322399139404293,-0.0065476642921566,0.6158827741940817
20007,121,Q0,en.noclean.c4-train.04634-of-07168.109959,8,16.876100540161133,-0.0070424661971628,0.5609795798858007
20008,121,Q0,en.noclean.c4-train.03463-of-07168.16467,9,16.452499389648438,-0.0074084075167775,0.6682392110427221
20009,121,Q0,en.noclean.c4-train.02849-of-07168.105590,10,17.519599914550778,-0.007454555016011,0.4362855566044648
21000,122,Q0,en.noclean.c4-train.06212-of-07168.43819,1,20.907100677490234,-0.0460824482142925,0.38690991202990216
21001,122,Q0,en.noclean.c4-train.04259-of-07168.76161,2,20.039100646972656,-0.0809674188494682,0.3551488866408666
21002,122,Q0,en.noclean.c4-train.01600-of-07168.7410,3,20.364299774169922,-0.0983606576919555,0.3148233691851298
21003,122,Q0,en.noclean.c4-train.00204-of-07168.4011,4,22.94779968261719,-0.1080207750201225,0.2875537425279617
21004,122,Q0,en.noclean.c4-train.01196-of-07168.50670,5,21.66349983215332,-0.1643922924995422,0.2580597549676895
21005,122,Q0,en.noclean.c4-train.02495-of-07168.66797,6,19.95630073547364,-0.1930527538061142,0.3001228322585424
21006,122,Q0,en.noclean.c4-train.02859-of-07168.22259,7,20.4606990814209,-0.197827011346817,0.2885642933348815
21007,122,Q0,en.noclean.c4-train.05111-of-07168.61609,8,20.729799270629886,-0.2041798681020736,0.4123940120140712
21008,122,Q0,en.noclean.c4-train.01730-of-07168.92988,9,20.720500946044922,-0.2113236486911773,0.41307127972443897
21009,122,Q0,en.noclean.c4-train.05757-of-07168.63782,10,20.68160057067871,-0.2670371234416961,0.2634036938349406
22000,123,Q0,en.noclean.c4-train.00877-of-07168.92992,1,25.90959930419922,-0.0068806377239525,0.4125866765777271
22001,123,Q0,en.noclean.c4-train.01682-of-07168.110489,2,24.71380043029785,-0.0085193766281008,0.4558462854474783
22002,123,Q0,en.noclean.c4-train.04353-of-07168.31023,3,24.795900344848643,-0.0089775258675217,0.41024430592854816
22003,123,Q0,en.noclean.c4-train.06541-of-07168.17961,4,24.917200088500977,-0.0089775258675217,0.41024430592854816
22004,123,Q0,en.noclean.c4-train.04151-of-07168.83505,5,25.271499633789066,-0.0091925244778394,0.37170622994502384
22005,123,Q0,en.noclean.c4-train.01445-of-07168.143294,6,24.31990051269531,-0.0095673622563481,0.3938539996743202
22006,123,Q0,en.noclean.c4-train.04129-of-07168.127652,7,24.417299270629893,-0.0110282888635993,0.4683611591657002
22007,123,Q0,en.noclean.c4-train.06426-of-07168.1703,8,23.96809959411621,-0.011427778750658,0.31071895143638056
22008,123,Q0,en.noclean.c4-train.04395-of-07168.44549,9,25.041400909423828,-0.0116661703214049,0.4263805498679479
22009,123,Q0,en.noclean.c4-train.02942-of-07168.138395,10,24.824199676513672,-0.0120013309642672,0.3325025141239166
23000,124,Q0,en.noclean.c4-train.00155-of-07168.77917,1,22.759599685668945,-0.012539473362267002,0.471690056224664
23001,124,Q0,en.noclean.c4-train.01663-of-07168.15956,2,22.300600051879886,-0.013252860866487,0.5782388697067896
23002,124,Q0,en.noclean.c4-train.00131-of-07168.52692,3,22.59650039672852,-0.0146895051002502,0.4553679327170054
